task,method,source,beta,seed,epoch,layer,research_only,cosA,relative_error_A,cosG,relative_error_G,group,trace_S,d_total,tau,operator_state_bytes,condition_S,log_eigenvalue_spread_S,effective_rank_S,A_condition_raw,A_eigenvalue_min,A_eigenvalue_max,G_condition_raw,G_eigenvalue_min,G_eigenvalue_max
vit,dp_kfm,public,0.5,42,1,patch_embed,True,0.9991607662922732,0.1392733434042978,0.9942377952959832,0.10737736077472783,patch_head,16303.952915727452,5526346,35.983968948472636,154292600,1644.2278091587793,0.6082350398816114,21444.888498016135,177913.0501668289,0.0010017209385508122,178.21922759355357,15.195541225761819,0.001,0.015195541225761819
vit,dp_kfm,public,0.5,42,1,blocks.0.attn.q_proj,True,0.9886516326513766,0.1600272341249859,0.9990250703199132,0.12069557882425068,attention_qkv,9802.139929377505,5526346,35.983968948472636,154292600,108.71529650697288,1.2703442661577335,11776.326079154178,6291.923249392721,0.001000003570205801,6.291945712853605,1.8784424453587807,0.001,0.0018784424453587808
vit,dp_kfm,public,0.5,42,1,blocks.0.attn.k_proj,True,0.9886516326513766,0.1600272341249859,0.9988143174592387,0.05907208140878571,attention_qkv,9885.859652654735,5526346,35.983968948472636,154292600,186.76170096518445,1.2717436171240588,11738.851819070029,6291.923249392721,0.001000003570205801,6.291945712853605,5.543604326511054,0.001,0.005543604326511054
vit,dp_kfm,public,0.5,42,1,blocks.0.attn.v_proj,True,0.9886516326513766,0.1600272341249859,0.9807454507810706,0.2030178677669794,attention_qkv,10183.544874273575,5526346,35.983968948472636,154292600,126.26752936852323,1.2717265089961618,11752.78082127946,6291.923249392721,0.001000003570205801,6.291945712853605,2.533961134120588,0.001000229739207434,0.0025345432843432098
vit,dp_kfm,public,0.5,42,1,blocks.0.attn.out_proj,True,0.9708667368223768,0.2969648171181025,0.9938789785843614,0.11254667393533051,attention_out,6362.430788341391,5526346,35.983968948472636,154292600,171.8795452620623,0.9815978986114877,15115.959018789212,1896.1977224680234,0.001000444362159864,1.8970403209835085,15.579903788219804,0.001,0.015579903788219805
vit,dp_kfm,public,0.5,42,1,blocks.0.mlp.fc1,True,0.9885138744145511,0.1739466697747348,0.9948401132193148,0.11961022245634013,mlp_fc1,72841.07155014273,5526346,35.983968948472636,154292600,201.73807313686902,1.3525948129138505,59410.50273072025,22199.116970146304,0.001,22.199116970146303,1.8333274340465122,0.0010001136304360924,0.001833535755842343
vit,dp_kfm,public,0.5,42,1,blocks.0.mlp.fc2,True,0.9933974372301647,0.11796328977876887,0.9965363860496357,0.11377712885045041,mlp_fc2,30820.76822197758,5526346,35.983968948472636,154292600,290.4379828752899,0.9231013547068305,73892.27180131833,13767.505095247721,0.0010173516493354345,14.006394015884267,6.127052164722615,0.001,0.006127052164722615
vit,dp_kfm,public,0.5,42,1,blocks.1.attn.q_proj,True,0.9939433473116853,0.11079292202091777,0.9947336922749431,0.10623320752748569,attention_qkv,15844.720169544704,5526346,35.983968948472636,154292600,91.26838097304741,1.1570539519275664,18368.75445844476,7502.53150219249,0.001,7.50253150219249,1.1102808915906641,0.0010000000141568415,0.0011102809073087348
vit,dp_kfm,public,0.5,42,1,blocks.1.attn.k_proj,True,0.9939433473116853,0.11079292202091777,0.9952617195835779,0.1075088811760733,attention_qkv,15859.090673660663,5526346,35.983968948472636,154292600,94.88046264918691,1.1570713808484923,18368.363072748078,7502.53150219249,0.001,7.50253150219249,1.1999019517469511,0.0010000000420273556,0.001199902002175657
vit,dp_kfm,public,0.5,42,1,blocks.1.attn.v_proj,True,0.9939433473116853,0.11079292202091777,0.9965582068443419,0.12695732084141934,attention_qkv,16100.747826835654,5526346,35.983968948472636,154292600,101.77476313260367,1.157335944828593,18362.44201148169,7502.53150219249,0.001,7.50253150219249,1.3806143176700556,0.0010003985395658488,0.0013811645471008245
