task,method,source,beta,seed,epoch,layer,research_only,cosA,relative_error_A,cosG,relative_error_G,group,trace_S,trace_R,layer_dimension,trace_S_per_dim,d_total,tau_layer,operator_state_bytes,condition_S,log_eigenvalue_spread_S,effective_rank_S,A_condition_raw,A_eigenvalue_min,A_eigenvalue_max,G_condition_raw,G_eigenvalue_min,G_eigenvalue_max,run_name,normalization,tau
vit,dp_kfm,pink,0.25,42,1,patch_embed,True,0.621153982490905,0.8487813064691657,0.4262651616567371,0.9797418694677276,patch_head,147648.0,14171.833187120616,147648.0,1.0,5526346,10.41841221601329,154293184,7.118380821310091,0.2623900764485431,140471.02543655847,1492.0695620062106,0.0176530245914811,26.33954067029613,1.7208214160408588,0.001,0.0017208214160408,vit_dp_kfm_pink_beta0.25_seed42,layer,
vit,dp_kfm,pink,0.25,42,1,blocks.0.attn.q_proj,True,0.3396325371922061,1.7188422276091564,0.1969590704313101,0.9847559219117982,attention_qkv,37056.0,4491.0190702144855,37056.0,1.0,5526346,8.251133967736692,154293184,10.528395410835367,0.6735025800216664,31616.90687030732,11108.45590578354,0.001,11.108455905783542,1.106101683560619,0.001,0.0011061016835606,vit_dp_kfm_pink_beta0.25_seed42,layer,
vit,dp_kfm,pink,0.25,42,1,blocks.0.attn.k_proj,True,0.3396325371922061,1.7188422276091564,0.2344846673991754,0.977290907293152,attention_qkv,37055.99999999999,4494.685090861979,37056.0,0.9999999999999998,5526346,8.244404057436089,154293184,11.52037573252244,0.6735532926989372,31615.74209846592,11108.45590578354,0.001,11.108455905783542,1.5856702538385126,0.001,0.0015856702538385,vit_dp_kfm_pink_beta0.25_seed42,layer,
vit,dp_kfm,pink,0.25,42,1,blocks.0.attn.v_proj,True,0.3396325371922061,1.7188422276091564,0.3131807084581808,1.3125149015610904,attention_qkv,37056.0,4538.697646725683,37056.0,1.0,5526346,8.16445660942694,154293184,14.86845282536725,0.6742278666951368,31598.18642003318,11108.45590578354,0.001,11.108455905783542,4.399561790003648,0.0010000375481197,0.0043997269852766,vit_dp_kfm_pink_beta0.25_seed42,layer,
vit,dp_kfm,pink,0.25,42,1,blocks.0.attn.out_proj,True,0.108369427288025,4.822867426418404,0.3839608285899357,0.9594593572825072,attention_out,37056.0,3094.2684456242087,37056.0,1.0,5526346,11.975690102907238,154293184,13.399608153902031,0.5851620727328926,30945.168372714477,8320.81050132666,0.0010019765805638,8.337257253638837,3.874384889599809,0.001,0.0038743848895998,vit_dp_kfm_pink_beta0.25_seed42,layer,
vit,dp_kfm,pink,0.25,42,1,blocks.0.mlp.fc1,True,0.3641099132362489,1.9164945556238355,0.2675850739800798,1.0571617404928226,mlp_fc1,148224.0,24314.263188858906,148224.0,1.0,5526346,6.09617486035596,154293184,17.360601588993966,0.7399149648923297,125355.88248057068,41399.56624741298,0.0010000000312211,41.39956753995529,2.194134726721206,0.0010000210460805,0.0021941809046574,vit_dp_kfm_pink_beta0.25_seed42,layer,
vit,dp_kfm,pink,0.25,42,1,blocks.0.mlp.fc2,True,0.1190921571486446,7.593671423422714,0.2567651091768883,0.9971774028972652,mlp_fc2,147648.0,16690.87441610914,147648.0,1.0,5526346,8.846031449227011,154293184,28.118168705641065,0.5061262169657259,130197.91212767817,115985.06320138722,0.0010590676151114,122.83602427324595,5.389470086695421,0.001,0.0053894700866954,vit_dp_kfm_pink_beta0.25_seed42,layer,
vit,dp_kfm,pink,0.25,42,1,blocks.1.attn.q_proj,True,0.3652250639323322,2.1311724236103684,0.5183309850729813,1.058196009837188,attention_qkv,37056.0,4187.407986403094,37056.0,1.0,5526346,8.84938848097064,154293184,14.12551000193556,0.4875640315192291,32843.18180841722,34750.087291249554,0.001,34.75008729124956,1.1456729205135825,0.0010000000138471,0.0011456729363779,vit_dp_kfm_pink_beta0.25_seed42,layer,
vit,dp_kfm,pink,0.25,42,1,blocks.1.attn.k_proj,True,0.3652250639323322,2.1311724236103684,0.5560658952255346,0.8833777809699428,attention_qkv,37056.0,4187.820927534791,37056.0,1.0,5526346,8.848515884802515,154293184,14.333902376507304,0.4875691641522821,32843.09558138369,34750.087291249554,0.001,34.75008729124956,1.214791849373131,0.0010000000319804,0.0012147918882226,vit_dp_kfm_pink_beta0.25_seed42,layer,
vit,dp_kfm,pink,0.25,42,1,blocks.1.attn.v_proj,True,0.3652250639323322,2.1311724236103684,0.4623862677496231,0.9244597815393628,attention_qkv,37056.0,4191.541632601464,37056.0,1.0,5526346,8.84066132417283,154293184,14.211427894420694,0.4875675070973423,32843.12509149858,34750.087291249554,0.001,34.75008729124956,1.1738023204360917,0.0010000524436955,0.0011738638789676,vit_dp_kfm_pink_beta0.25_seed42,layer,
