level,layer,group,noise_rms,noise_energy_share,expected_noise_energy,signal_norm,snr,task,method,source,beta,seed,epoch,research_only
layer,conv1,conv1,1.073082674327871,0.0007732382250316512,182.5392246246338,2.513804683109277,0.18606017720725174,mnist,dp_kfm_a,pink,0.5,42,1,True
layer,conv2,conv2,1.0680235942297853,0.022423908525918034,5293.63751411438,4.853787319105253,0.06671195118451967,mnist,dp_kfm_a,pink,0.5,42,1,True
layer,fc1,fc1,1.0683135136399302,0.9705686200597354,229123.23474884036,21.81727474090201,0.04557911986188652,mnist,dp_kfm_a,pink,0.5,42,1,True
layer,fc2,fc2,1.0681209362572937,0.006234233189317707,1471.72249853611,27.172504073289875,0.7082991130902339,mnist,dp_kfm_a,pink,0.5,42,1,True
group,conv1,conv1,1.073082674327871,0.0007732382250316512,182.5392246246338,2.513804683109277,0.18606017720725174,mnist,dp_kfm_a,pink,0.5,42,1,True
group,conv2,conv2,1.0680235942297853,0.022423908525918034,5293.63751411438,4.853787319105253,0.06671195118451967,mnist,dp_kfm_a,pink,0.5,42,1,True
group,fc1,fc1,1.0683135136399302,0.9705686200597354,229123.23474884036,21.81727474090201,0.04557911986188652,mnist,dp_kfm_a,pink,0.5,42,1,True
group,fc2,fc2,1.0681209362572937,0.006234233189317707,1471.72249853611,27.172504073289875,0.708299113090234,mnist,dp_kfm_a,pink,0.5,42,1,True
layer,conv1,conv1,1.063824246471956,0.0007732382250316512,182.5392246246338,0.6293863286006031,0.046584260351685954,mnist,dp_kfm_a,pink,0.5,42,2,True
layer,conv2,conv2,1.0683910566425059,0.022423908525918034,5293.63751411438,2.201077654430032,0.030252290712799793,mnist,dp_kfm_a,pink,0.5,42,2,True
layer,fc1,fc1,1.0671136720958538,0.9705686200597354,229123.2347488403,9.570587108523677,0.01999419919070936,mnist,dp_kfm_a,pink,0.5,42,2,True
layer,fc2,fc2,1.0633327530943126,0.006234233189317707,1471.72249853611,19.857097388707338,0.5176101705986405,mnist,dp_kfm_a,pink,0.5,42,2,True
group,conv1,conv1,1.063824246471956,0.0007732382250316512,182.5392246246338,0.6293863286006031,0.046584260351685954,mnist,dp_kfm_a,pink,0.5,42,2,True
group,conv2,conv2,1.0683910566425059,0.022423908525918034,5293.63751411438,2.201077654430032,0.030252290712799793,mnist,dp_kfm_a,pink,0.5,42,2,True
group,fc1,fc1,1.0671136720958538,0.9705686200597354,229123.2347488403,9.570587108523677,0.01999419919070936,mnist,dp_kfm_a,pink,0.5,42,2,True
group,fc2,fc2,1.0633327530943126,0.006234233189317707,1471.72249853611,19.857097388707338,0.5176101705986405,mnist,dp_kfm_a,pink,0.5,42,2,True
layer,conv1,conv1,1.0668296801960493,0.0007732382250316512,182.5392246246338,1.4360923062279984,0.1062928996743925,mnist,dp_kfm_a,pink,0.5,42,3,True
layer,conv2,conv2,1.0669567661392634,0.022423908525918034,5293.63751411438,5.19677585743217,0.07142609152924599,mnist,dp_kfm_a,pink,0.5,42,3,True
layer,fc1,fc1,1.0682446483751828,0.9705686200597354,229123.23474884033,11.955039375961878,0.024975629593598423,mnist,dp_kfm_a,pink,0.5,42,3,True
layer,fc2,fc2,1.0701988596343832,0.006234233189317707,1471.72249853611,33.67037976888496,0.8776776723774785,mnist,dp_kfm_a,pink,0.5,42,3,True
group,conv1,conv1,1.0668296801960493,0.0007732382250316512,182.5392246246338,1.4360923062279984,0.1062928996743925,mnist,dp_kfm_a,pink,0.5,42,3,True
group,conv2,conv2,1.0669567661392634,0.022423908525918034,5293.63751411438,5.19677585743217,0.07142609152924599,mnist,dp_kfm_a,pink,0.5,42,3,True
group,fc1,fc1,1.0682446483751828,0.9705686200597354,229123.23474884033,11.955039375961878,0.02497562959359842,mnist,dp_kfm_a,pink,0.5,42,3,True
group,fc2,fc2,1.0701988596343832,0.006234233189317707,1471.72249853611,33.67037976888496,0.8776776723774785,mnist,dp_kfm_a,pink,0.5,42,3,True
layer,conv1,conv1,1.0661309547030138,0.0007732382250316512,182.5392246246338,1.375621948421942,0.10181716392420512,mnist,dp_kfm_a,pink,0.5,42,4,True
layer,conv2,conv2,1.0666389158078105,0.022423908525918034,5293.63751411438,6.5687535766323375,0.09028297680505204,mnist,dp_kfm_a,pink,0.5,42,4,True
layer,fc1,fc1,1.0676720176686447,0.9705686200597354,229123.2347488403,11.558126547581937,0.024146427156800307,mnist,dp_kfm_a,pink,0.5,42,4,True
layer,fc2,fc2,1.0578612276880568,0.006234233189317707,1471.72249853611,33.608888459852544,0.8760747932488957,mnist,dp_kfm_a,pink,0.5,42,4,True
group,conv1,conv1,1.0661309547030138,0.0007732382250316512,182.5392246246338,1.375621948421942,0.10181716392420512,mnist,dp_kfm_a,pink,0.5,42,4,True
group,conv2,conv2,1.0666389158078105,0.022423908525918034,5293.63751411438,6.5687535766323375,0.09028297680505204,mnist,dp_kfm_a,pink,0.5,42,4,True
