task,method,source,beta,seed,epoch,layer,research_only,cosA,relative_error_A,cosG,relative_error_G,group,trace_S,trace_R,layer_dimension,trace_S_per_dim,d_total,tau_layer,operator_state_bytes,condition_S,log_eigenvalue_spread_S,effective_rank_S,A_condition_raw,A_eigenvalue_min,A_eigenvalue_max,G_condition_raw,G_eigenvalue_min,G_eigenvalue_max
mnist,dp_kfm,pink,0.25,42,1,conv1,True,0.8618116263472527,0.7908662092298306,0.945093646014842,0.3635822027520624,conv1,160.0,18.815259656958865,160,1.0,206922,8.503735952473217,20138360,2.2726336252309487,0.27124569345626576,153.58364573018238,26.65655667793419,0.04390336635477699,1.1703125735882218,1.0007224966226365,0.0010002034420851299,0.0010009260856939858
mnist,dp_kfm,pink,0.25,42,1,conv2,True,0.8169699345649275,0.6628943531273978,0.9694311260666093,0.254558665415884,conv2,4640.0,288.3615545110309,4640,1.0,206922,16.09091062041179,20138360,8.8865210847763,0.3552347619922208,4177.2778708100595,6171.028340240056,0.0019927776100180064,12.297487107216964,1.010577353603839,0.0010000144210350658,0.001010591927175292
mnist,dp_kfm,pink,0.25,42,1,fc1,True,0.7100319801040785,0.7637139184871902,0.808709512430055,0.6252412481010396,fc1,200832.0,9232.529539040988,200832,1.0,206922,21.752651767942357,20138360,32.344431366552314,0.29842378840387546,186976.14624509748,38305.9951968204,0.001,38.3059951968204,28.57138752482234,0.001,0.028571387524822342
mnist,dp_kfm,pink,0.25,42,1,fc2,True,0.854649087127294,0.5625582573472794,0.997739912640114,0.06720477903081529,fc2,1290.0,142.238489244461,1290,1.0,206922,9.069275178977161,20138360,20.497619588894494,0.39926691226926714,1194.1342657178589,1547.9282810655716,0.001,1.5479282810655717,114.04148938230693,0.001,0.11404148938230693
mnist,dp_kfm,pink,0.25,42,2,conv1,True,0.861674992974544,0.7909976554819105,0.9883049005559044,6.034395552326635,conv1,160.0,19.233966210686738,160,1.0,206922,8.318617088507784,20138360,2.530503286248554,0.2723492506830383,153.53557861220835,26.605394469385256,0.04394917128192075,1.1692850385580797,1.5411961665941634,0.0010215112398926072,0.001574349207055337
mnist,dp_kfm,pink,0.25,42,2,conv2,True,0.923114485302999,0.8287754372909165,0.9833824239725562,5.293126529166622,conv2,4640.0,339.52579805084207,4640,1.0,206922,13.666119118598424,20138360,11.542811658749073,0.4064607397446772,4009.9293518343657,11033.142970637093,0.002762499931301869,30.479056698428664,1.6089672039173208,0.0011104854322629071,0.0017867346409389672
mnist,dp_kfm,pink,0.25,42,2,fc1,True,0.6156181984317524,0.9185490408359515,0.7522357056580814,5.6539517752127075,fc1,200832.0,17285.849111271746,200832,1.0,206922,11.618289544656594,20138360,140.22325456726176,0.5295796134399334,155394.4217415388,2346300.7919837525,0.0010526207684723493,2469.7649427252195,164.776959192557,0.001,0.164776959192557
mnist,dp_kfm,pink,0.25,42,2,fc2,True,0.8587899561400171,0.838397929494959,0.850414280699732,5.978240800163156,fc2,1290.0,551.7901948770111,1290,1.0,206922,2.3378450939809268,20138360,139.89954842955183,0.6983596179432383,997.4560574302789,1312554.1681202715,0.001,1312.5541681202715,291.8421494091504,0.00100000353902509,0.29184318224583944
mnist,dp_kfm,pink,0.25,42,3,conv1,True,0.8611448779803761,0.7913566638596873,0.9878906624947619,8.856249887765824,conv1,160.0,20.03610559828288,160,1.0,206922,7.985583785988441,20138360,2.9007459947378784,0.27634755780923537,153.34771483071802,26.43308622538906,0.04414639619698689,1.1669254972151422,2.6784955697250834,0.001056884192803401,0.0028308596281363804
mnist,dp_kfm,pink,0.25,42,3,conv2,True,0.9279239050885439,0.8348937661014916,0.9703933053453517,6.834465854301079,conv2,4640.0,373.256105218341,4640,1.0,206922,12.431142947509919,20138360,13.536727886653042,0.41073752763905025,4007.542118218322,10738.989150626565,0.002967599802740973,31.869022085036846,3.126737280951759,0.0010978583381196618,0.003432714595002488
