level,layer,group,noise_rms,noise_energy_share,expected_noise_energy,signal_norm,snr,task,method,source,beta,seed,epoch,research_only
layer,conv1,conv1,1.071321580801995,0.0007732382250316512,182.5392246246338,2.831912528251041,0.20960504624015017,mnist,dp_kfm,public,0.25,42,1,True
layer,conv2,conv2,1.068041863933156,0.022423908525918034,5293.63751411438,6.2859208277885275,0.08639563619991605,mnist,dp_kfm,public,0.25,42,1,True
layer,fc1,fc1,1.068113827445711,0.9705686200597354,229123.23474884033,30.670307293190444,0.06407425441164076,mnist,dp_kfm,public,0.25,42,1,True
layer,fc2,fc2,1.0674829785696966,0.006234233189317707,1471.7224985361102,23.403049747755727,0.6100416559045181,mnist,dp_kfm,public,0.25,42,1,True
group,conv1,conv1,1.071321580801995,0.0007732382250316512,182.5392246246338,2.831912528251041,0.20960504624015017,mnist,dp_kfm,public,0.25,42,1,True
group,conv2,conv2,1.068041863933156,0.022423908525918034,5293.63751411438,6.2859208277885275,0.08639563619991607,mnist,dp_kfm,public,0.25,42,1,True
group,fc1,fc1,1.068113827445711,0.9705686200597354,229123.23474884033,30.670307293190444,0.06407425441164076,mnist,dp_kfm,public,0.25,42,1,True
group,fc2,fc2,1.0674829785696966,0.006234233189317707,1471.7224985361102,23.403049747755727,0.6100416559045181,mnist,dp_kfm,public,0.25,42,1,True
layer,conv1,conv1,1.0625883376006904,0.0007732382250316512,182.5392246246338,1.0197794218909952,0.07547934858433851,mnist,dp_kfm,public,0.25,42,2,True
layer,conv2,conv2,1.0677499124428487,0.022423908525918034,5293.63751411438,5.731789491477924,0.0787794840639837,mnist,dp_kfm,public,0.25,42,2,True
layer,fc1,fc1,1.0678620655253084,0.9705686200597354,229123.23474884036,23.239896207729615,0.048551160830553705,mnist,dp_kfm,public,0.25,42,2,True
layer,fc2,fc2,1.066783238931433,0.006234233189317707,1471.72249853611,24.1641764380471,0.6298817618523769,mnist,dp_kfm,public,0.25,42,2,True
group,conv1,conv1,1.0625883376006904,0.0007732382250316512,182.5392246246338,1.0197794218909952,0.07547934858433851,mnist,dp_kfm,public,0.25,42,2,True
group,conv2,conv2,1.0677499124428487,0.022423908525918034,5293.63751411438,5.731789491477924,0.0787794840639837,mnist,dp_kfm,public,0.25,42,2,True
group,fc1,fc1,1.0678620655253084,0.9705686200597354,229123.23474884036,23.239896207729615,0.048551160830553705,mnist,dp_kfm,public,0.25,42,2,True
group,fc2,fc2,1.066783238931433,0.006234233189317707,1471.72249853611,24.1641764380471,0.6298817618523769,mnist,dp_kfm,public,0.25,42,2,True
layer,conv1,conv1,1.066489327083803,0.0007732382250316512,182.5392246246338,1.1453689799324225,0.08477490586513159,mnist,dp_kfm,public,0.25,42,3,True
layer,conv2,conv2,1.0676829814329323,0.022423908525918034,5293.63751411438,7.1121672178661495,0.09775182163150282,mnist,dp_kfm,public,0.25,42,3,True
layer,fc1,fc1,1.0680609214691397,0.9705686200597354,229123.23474884033,18.899709331249237,0.0394839468812689,mnist,dp_kfm,public,0.25,42,3,True
layer,fc2,fc2,1.0696076571824593,0.006234233189317707,1471.72249853611,27.42195864287854,0.7148015852186539,mnist,dp_kfm,public,0.25,42,3,True
group,conv1,conv1,1.066489327083803,0.0007732382250316512,182.5392246246338,1.1453689799324225,0.08477490586513159,mnist,dp_kfm,public,0.25,42,3,True
group,conv2,conv2,1.0676829814329323,0.022423908525918034,5293.63751411438,7.1121672178661495,0.09775182163150284,mnist,dp_kfm,public,0.25,42,3,True
group,fc1,fc1,1.0680609214691397,0.9705686200597354,229123.23474884033,18.899709331249237,0.0394839468812689,mnist,dp_kfm,public,0.25,42,3,True
group,fc2,fc2,1.0696076571824593,0.006234233189317707,1471.72249853611,27.42195864287854,0.7148015852186539,mnist,dp_kfm,public,0.25,42,3,True
layer,conv1,conv1,1.0662784704691552,0.0007732382250316512,182.5392246246338,1.1952329531617218,0.08846560616402102,mnist,dp_kfm,public,0.25,42,4,True
layer,conv2,conv2,1.0676866600034012,0.022423908525918034,5293.63751411438,7.138123152710192,0.098108568012097,mnist,dp_kfm,public,0.25,42,4,True
layer,fc1,fc1,1.0680697725876955,0.9705686200597354,229123.23474884033,14.25895053520398,0.029788799163368983,mnist,dp_kfm,public,0.25,42,4,True
layer,fc2,fc2,1.0657769717888617,0.006234233189317707,1471.72249853611,22.428547593071258,0.5846395431656326,mnist,dp_kfm,public,0.25,42,4,True
group,conv1,conv1,1.0662784704691552,0.0007732382250316512,182.5392246246338,1.1952329531617218,0.08846560616402101,mnist,dp_kfm,public,0.25,42,4,True
group,conv2,conv2,1.0676866600034012,0.022423908525918034,5293.63751411438,7.138123152710192,0.098108568012097,mnist,dp_kfm,public,0.25,42,4,True
group,fc1,fc1,1.0680697725876955,0.9705686200597354,229123.23474884033,14.25895053520398,0.02978879916336898,mnist,dp_kfm,public,0.25,42,4,True
group,fc2,fc2,1.0657769717888617,0.006234233189317707,1471.72249853611,22.428547593071258,0.5846395431656326,mnist,dp_kfm,public,0.25,42,4,True
layer,conv1,conv1,1.0661012802322343,0.0007732382250316512,182.5392246246338,1.2175791137336027,0.09011956544886225,mnist,dp_kfm,public,0.25,42,5,True
layer,conv2,conv2,1.0679345401544726,0.022423908525918034,5293.63751411438,6.779318880946836,0.0931770513450078,mnist,dp_kfm,public,0.25,42,5,True
layer,fc1,fc1,1.0681205716366193,0.9705686200597354,229123.23474884033,10.890042677879453,0.022750713203678816,mnist,dp_kfm,public,0.25,42,5,True
layer,fc2,fc2,1.0692105793524167,0.006234233189317707,1471.72249853611,17.140297116117576,0.446791992843348,mnist,dp_kfm,public,0.25,42,5,True
group,conv1,conv1,1.0661012802322343,0.0007732382250316512,182.5392246246338,1.2175791137336027,0.09011956544886225,mnist,dp_kfm,public,0.25,42,5,True
group,conv2,conv2,1.0679345401544726,0.022423908525918034,5293.63751411438,6.779318880946836,0.09317705134500781,mnist,dp_kfm,public,0.25,42,5,True
