task,method,source,beta,seed,epoch,layer,research_only,cosA,relative_error_A,cosG,relative_error_G,group,trace_S,trace_R,layer_dimension,trace_S_per_dim,d_total,tau_layer,operator_state_bytes,condition_S,log_eigenvalue_spread_S,effective_rank_S,A_condition_raw,A_eigenvalue_min,A_eigenvalue_max,G_condition_raw,G_eigenvalue_min,G_eigenvalue_max
vit,dp_kfm,pink,0.5,42,1,patch_embed,True,0.621153982490905,0.8487813064691657,0.42626516165673717,0.9797418694677276,patch_head,147648.0,1539.626255539375,147648,1.0,5526346,95.89859842204022,154293184,50.67134551719533,0.5247801528970862,108872.00895861437,1492.0695620062106,0.01765302459148114,26.33954067029613,1.7208214160408588,0.001,0.0017208214160408589
vit,dp_kfm,pink,0.5,42,1,blocks.0.attn.q_proj,True,0.3396325371922061,1.7188422276091564,0.19695907043131017,0.9847559219117982,attention_qkv,37056.0,707.4470317942049,37056,1.0,5526346,52.379893242353056,154293184,110.84710992689921,1.3470051600433328,24039.24598679943,11108.455905783541,0.001,11.108455905783542,1.106101683560619,0.001,0.001106101683560619
vit,dp_kfm,pink,0.5,42,1,blocks.0.attn.k_proj,True,0.3396325371922061,1.7188422276091564,0.23448466739917542,0.977290907293152,attention_qkv,37056.0,708.6567358505672,37056,1.0,5526346,52.29047876829031,154293184,132.71905701849192,1.3471065853978743,24035.4228592084,11108.455905783541,0.001,11.108455905783542,1.5856702538385126,0.001,0.0015856702538385127
vit,dp_kfm,pink,0.5,42,1,blocks.0.attn.v_proj,True,0.3396325371922061,1.7188422276091564,0.31318070845818086,1.3125149015610904,attention_qkv,37056.0,723.4962632983305,37056,1.0,5526346,51.21795630438539,154293184,221.07088942017134,1.3484557333902736,23969.64095461533,11108.455905783541,0.001,11.108455905783542,4.399561790003648,0.0010000375481197638,0.004399726985276647
vit,dp_kfm,pink,0.5,42,1,blocks.0.attn.out_proj,True,0.10836942728802505,4.822867426418404,0.3839608285899357,0.9594593572825071,attention_out,37056.0,366.9146742639212,37056,1.0,5526346,100.9935077531014,154293184,179.5494986781178,1.1703241454657851,18971.65316169148,8320.81050132666,0.001001976580563823,8.337257253638837,3.874384889599809,0.001,0.003874384889599809
vit,dp_kfm,pink,0.5,42,1,blocks.0.mlp.fc1,True,0.3641099132362489,1.9164945556238355,0.2675850739800798,1.0571617404928226,mlp_fc1,148224.0,5189.45481201685,148224,1.0,5526346,28.562537948450434,154293184,301.39048753177985,1.4798299297846593,98013.84866649163,41399.56624741298,0.0010000000312211559,41.39956753995529,2.194134726721206,0.0010000210460805877,0.0021941809046574848
vit,dp_kfm,pink,0.5,42,1,blocks.0.mlp.fc2,True,0.1190921571486446,7.593671423422714,0.25676510917688833,0.9971774028972651,mlp_fc2,147648.0,2419.6209278220445,147648,1.0,5526346,61.02112868270705,154293184,790.6314113588925,1.0122524339314518,90129.49253504534,115985.06320138722,0.001059067615111467,122.83602427324595,5.389470086695421,0.001,0.005389470086695421
vit,dp_kfm,pink,0.5,42,1,blocks.1.attn.q_proj,True,0.36522506393233223,2.1311724236103684,0.5183309850729813,1.0581960098371879,attention_qkv,37056.0,602.7277908210933,37056,1.0,5526346,61.480490138871446,154293184,199.53003281478155,0.9751280630384582,22842.49490258817,34750.087291249554,0.001,34.75008729124956,1.1456729205135825,0.0010000000138471847,0.001145672936377927
vit,dp_kfm,pink,0.5,42,1,blocks.1.attn.k_proj,True,0.36522506393233223,2.1311724236103684,0.5560658952255346,0.8833777809699428,attention_qkv,37056.0,602.8499149045056,37056,1.0,5526346,61.46803554889753,154293184,205.46075733924172,0.9751383283045643,22842.24329720479,34750.087291249554,0.001,34.75008729124956,1.2147918493731307,0.001000000031980409,0.001214791888222671
vit,dp_kfm,pink,0.5,42,1,blocks.1.attn.v_proj,True,0.36522506393233223,2.1311724236103684,0.4623862677496231,0.9244597815393628,attention_qkv,37056.0,603.920462946691,37056,1.0,5526346,61.359073377301655,154293184,201.96468279831862,0.9751350141946847,22842.33405378068,34750.087291249554,0.001,34.75008729124956,1.1738023204360915,0.0010000524436955943,0.0011738638789676723
