level,layer,group,noise_rms,noise_energy_share,expected_noise_energy,signal_norm,snr,task,method,source,beta,seed,epoch,research_only
layer,patch_embed,patch_head,0.7203983994982408,0.026717111089316622,76586.4086151123,3.598728561466398,0.013003888541490743,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.0.attn.q_proj,attention_qkv,0.719926662247205,0.006705334772741336,19221.296310424805,0.3884858400168665,0.0028021014631389512,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.0.attn.k_proj,attention_qkv,0.7198753557456185,0.006705334772741336,19221.296310424805,0.6239693465089814,0.004500615566144606,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.0.attn.v_proj,attention_qkv,0.7202450303129302,0.006705334772741336,19221.296310424805,1.5002030202127417,0.010820783269117566,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.0.attn.out_proj,attention_out,0.7204994638179888,0.006705334772741336,19221.296310424805,1.6729315165993586,0.01206665306048429,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.0.mlp.fc1,mlp_fc1,0.7202882136837148,0.026821339090965342,76885.18524169922,2.0186056666859593,0.007279979486351068,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.0.mlp.fc2,mlp_fc2,0.7201976665526829,0.026717111089316622,76586.4086151123,3.358326045435556,0.012135201873362284,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.1.attn.q_proj,attention_qkv,0.7205502341178592,0.006705334772741336,19221.296310424805,0.2543624809984585,0.0018346858669095656,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.1.attn.k_proj,attention_qkv,0.7204441160531168,0.006705334772741336,19221.296310424805,0.3766923114984735,0.0027170361657383423,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.1.attn.v_proj,attention_qkv,0.7197539597308152,0.006705334772741336,19221.296310424805,1.5690294845494228,0.011317220247134902,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.1.attn.out_proj,attention_out,0.7204394034009541,0.006705334772741336,19221.296310424805,2.1824194073322403,0.015741527707169488,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.1.mlp.fc1,mlp_fc1,0.7201129887500649,0.026821339090965342,76885.18524169922,2.8022312110234346,0.010106077709449462,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.1.mlp.fc2,mlp_fc2,0.7202626374557338,0.026717111089316622,76586.4086151123,2.4129600446452333,0.008719152595063008,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.2.attn.q_proj,attention_qkv,0.720015833246168,0.006705334772741336,19221.296310424805,0.39314948226376156,0.0028357397516361924,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.2.attn.k_proj,attention_qkv,0.7205289457588626,0.006705334772741336,19221.296310424805,0.5109669993324042,0.0036855432784445577,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.2.attn.v_proj,attention_qkv,0.7198157188682097,0.006705334772741336,19221.296310424805,2.1917528910298953,0.015808848998273024,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.2.attn.out_proj,attention_out,0.7202356433783789,0.006705334772741336,19221.296310424805,2.455739348985346,0.017712951449095224,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.2.mlp.fc1,mlp_fc1,0.7203370638498289,0.026821339090965342,76885.18524169922,3.004421769826746,0.010835265754798866,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.2.mlp.fc2,mlp_fc2,0.7204702242807765,0.026717111089316622,76586.4086151123,2.8523339344780405,0.010306815847191973,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.3.attn.q_proj,attention_qkv,0.7199023919367724,0.006705334772741336,19221.296310424805,0.47100583297667353,0.0033973082099301617,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.3.attn.k_proj,attention_qkv,0.7205075026158668,0.006705334772741336,19221.296310424805,0.6184128935689307,0.004460537541904382,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.3.attn.v_proj,attention_qkv,0.7200344836019484,0.006705334772741336,19221.296310424805,2.1800696274229887,0.015724579028366967,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.3.attn.out_proj,attention_out,0.7210611274405954,0.006705334772741336,19221.296310424805,2.254758031014118,0.016263297466529696,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.3.mlp.fc1,mlp_fc1,0.7200830901731508,0.026821339090965342,76885.18524169922,2.909834962338802,0.010494144143205366,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.3.mlp.fc2,mlp_fc2,0.7203226311525973,0.026717111089316622,76586.4086151123,2.8646846125035252,0.010351444620302273,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.4.attn.q_proj,attention_qkv,0.720152041399408,0.006705334772741336,19221.296310424805,0.5961624447101347,0.004300047740525721,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.4.attn.k_proj,attention_qkv,0.7205743047338445,0.006705334772741336,19221.296310424805,0.8972350672956646,0.006471648219506802,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.4.attn.v_proj,attention_qkv,0.7200199283185231,0.006705334772741336,19221.296310424805,1.789235487929652,0.012905539564608432,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.4.attn.out_proj,attention_out,0.720781311227761,0.006705334772741336,19221.296310424805,1.8406600467858407,0.013276458699282552,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.4.mlp.fc1,mlp_fc1,0.7202745996262748,0.026821339090965342,76885.18524169922,2.6278509850880925,0.009477185950853166,vit,dp_kfm,pink,0.5,42,1,True
layer,blocks.4.mlp.fc2,mlp_fc2,0.7201024182112764,0.026717111089316622,76586.4086151123,2.54032876443664,0.009179395319000206,vit,dp_kfm,pink,0.5,42,1,True
