task,method,source,beta,seed,epoch,train_loss,test_loss,test_accuracy,best_accuracy,accuracy_auc,epsilon,noise_multiplier,accountant_steps,logical_steps,samples,realized_batch_size_sum,realized_batch_size_mean,realized_batch_size_min,realized_batch_size_max,sample_rate,expected_batch_size,optimizer_steps,noise_events,logical_batch_size,physical_batch_size,clip_fraction,mean_clip_factor,matched_norm_p50,matched_norm_p90,matched_norm_p99,matched_norm_max,raw_norm_p50,raw_norm_p90,raw_norm_p99,geometry_build_seconds,oracle_seconds,private_train_seconds,wall_time_seconds,run_wall_time_seconds,peak_cuda_allocated_bytes,bk_cache_bytes,temporary_per_sample_bytes,operator_state_bytes,factor_state_bytes,trace_S,d_total,normalization,research_only,clip_cos,clip_rel_error,signal_cos,signal_rel_error,update_cos,update_rel_error,total_noise_rms,run_name,tau
vit,dp_kfm_a,pink,0.25,42,1,1.5667526274928514,0.659177314376831,0.796,0.796,0.0,2.3316823563394795,0.72021484375,195,195,49649,49649,254.6102564102564,209,301,0.00512,256,195,195,256,128,0.9598179459571838,0.0870388820767402,111.04390716552734,214.0020294189453,305.5032043457031,660.5108032226562,109.34300231933594,211.0747528076172,304.34527587890625,2.0117167504504323,3.943834026344121,282.8638396076858,302.57212757412344,302.61677031591535,5645020672,4879916544,19562496,79679648,39839528,5526346.0,5526346,layer,True,0.7738542031277763,0.993910298006496,0.7738542031277763,0.993910298006496,0.011077400566353,1.1638054604481232,0.7202125619818651,vit_dp_kfm_a_pink_beta0.25_seed42,
vit,dp_kfm_a,pink,0.25,42,2,0.4774360807123605,0.4192393738746643,0.8828,0.8828,0.8394,2.5430233194134213,0.72021484375,390,195,49464,49464,253.66153846153847,217,292,0.00512,256,390,390,256,128,0.6033681035041809,0.489569753408432,2.9881515502929688,249.7013092041016,440.064697265625,932.68603515625,2.9922938346862797,250.44911193847656,444.6451110839844,1.800874412059784,3.760977586731314,283.55019717291,302.71255478914827,605.3890009569004,5639870976,4879916544,19562496,79679648,39839528,5526346.0,5526346,layer,True,0.5447227956748246,0.9962136907121412,0.5447227956748246,0.9962136907121412,0.0048515712218976,1.2754260759696336,0.7202044291966008,vit_dp_kfm_a_pink_beta0.25_seed42,
vit,dp_kfm_a,pink,0.25,42,3,0.3642553710815444,0.3572810110569,0.9051,0.9051,1.7333500000000002,2.710864462544613,0.72021484375,585,195,50006,50006,256.44102564102565,220,308,0.00512,256,585,585,256,128,0.4088909327983856,0.6577601432800293,0.3435477018356323,235.3714599609375,539.4281616210938,1503.196044921875,0.3446435928344726,237.6784820556641,546.1216430664062,1.8024529069662092,3.68379954341799,289.9329628646374,309.05887520033866,914.505817663856,5649496064,4879916544,19562496,79679648,39839528,5526346.0,5526346,layer,True,0.5394403678786948,0.9971927196059162,0.5394403678786948,0.9971927196059162,0.0037702609273478,1.2631381073690522,0.7202103286209514,vit_dp_kfm_a_pink_beta0.25_seed42,
vit,dp_kfm_a,pink,0.25,42,4,0.3240597576302921,0.3292880698919296,0.9147,0.9147,2.64325,2.859977904455548,0.72021484375,780,195,49772,49772,255.24102564102563,203,293,0.00512,256,780,780,256,128,0.336293488740921,0.7180421352386475,0.1058475077152252,184.88536071777344,605.9950561523438,1292.27783203125,0.106950856745243,188.4402618408203,616.8546142578125,1.8017534939572213,3.6686740098521113,286.97996376734227,306.65942023321986,1221.2231173245236,5640071168,4879916544,19562496,79679648,39839528,5526346.0,5526346,layer,True,0.5493289395650992,0.9975449394429446,0.5493289395650992,0.9975449394429446,0.003398807199839,1.2492810969019077,0.7202108864459686,vit_dp_kfm_a_pink_beta0.25_seed42,
vit,dp_kfm_a,pink,0.25,42,5,0.2967034604778172,0.3077935418367385,0.9254,0.9254,3.5633,2.9959030525484205,0.72021484375,975,195,49838,49838,255.5794871794872,212,297,0.00512,256,975,975,256,128,0.2861270606517792,0.7601441144943237,0.0472348220646381,132.77157592773438,655.390380859375,1319.2677001953125,0.047973558306694,135.53233337402344,669.533447265625,1.8004700765013697,3.6938176127150655,288.508706279099,307.53960801195353,1528.8248302945867,5642874368,4879916544,19562496,79679648,39839528,5526346.0,5526346,layer,True,0.5567540052464952,0.9977878715625292,0.5567540052464952,0.9977878715625292,0.0031549071383486,1.2345582532741632,0.7202345466722051,vit_dp_kfm_a_pink_beta0.25_seed42,
vit,dp_kfm_a,pink,0.25,42,1,1.56178729293901,0.6575410970687866,0.7975,0.7975,0.0,2.3316823563394795,0.72021484375,195,195,49649,49649,254.6102564102564,209,301,0.00512,256,195,195,256,128,0.960643708705902,0.0853850468993187,120.86808776855467,234.0854034423828,333.87860107421875,717.2069702148438,109.31446838378906,211.78810119628903,305.5777893066406,1.9755592783913016,3.9561264598742127,288.2282967865467,309.97827549651265,310.02569257467985,5590039040,4879916544,19562496,79679064,39839528,5526346.0,5526346,global,True,0.7704271312717444,0.9944543829431004,0.7704271312717444,0.9944543829431004,0.0101278657109263,1.1637458485116696,0.7202127319117541,vit_dp_kfm_a_pink_beta0.25_seed42,1.6485878590786276
vit,dp_kfm_a,pink,0.25,42,2,0.47903036273029,0.4229954596042633,0.882,0.882,0.83975,2.5430233194134213,0.72021484375,390,195,49464,49464,253.66153846153847,217,292,0.00512,256,390,390,256,128,0.607451856136322,0.4853099584579468,3.1046650409698486,274.0436706542969,482.8958435058594,1011.312255859375,2.8335695266723637,251.3207855224609,446.8063659667969,1.7989295003935697,3.991691790521145,286.1209415476769,306.40097384992987,616.4872337104753,5585020416,4879916544,19562496,79679064,39839528,5526346.0,5526346,global,True,0.5412270059127957,0.996571751060586,0.5412270059127957,0.996571751060586,0.0044111840692296,1.2733722566533263,0.7202029094192454,vit_dp_kfm_a_pink_beta0.25_seed42,1.639692618931284
vit,dp_kfm_a,pink,0.25,42,3,0.3687361887453632,0.3619356181383133,0.9042,0.9042,1.73285,2.710864462544613,0.72021484375,585,195,50006,50006,256.44102564102565,220,308,0.00512,256,585,585,256,128,0.4145302474498749,0.6532261967658997,0.3605841994285583,261.5221862792969,593.3394775390625,1595.158935546875,0.331311970949173,241.6951904296875,551.4916381835938,1.7927716867998242,3.718402057886124,294.16585332807153,315.5242773247883,932.0693142805248,5594383360,4879916544,19562496,79679064,39839528,5526346.0,5526346,global,True,0.5371653170034508,0.9974533878344108,0.5371653170034508,0.9974533878344108,0.0034474981542716,1.2589163059376718,0.7202069826004932,vit_dp_kfm_a_pink_beta0.25_seed42,1.6393630680740257
vit,dp_kfm_a,pink,0.25,42,4,0.3294288904578952,0.3345286297082901,0.9132,0.9132,2.64155,2.859977904455548,0.72021484375,780,195,49772,49772,255.24102564102563,203,293,0.00512,256,780,780,256,128,0.3412762284278869,0.7136275172233582,0.1103425398468971,209.0264434814453,665.6064453125,1365.2388916015625,0.1015281826257705,193.67333984375,623.244140625,1.800020910799503,4.081890136934817,291.46327181812376,312.33694238960743,1244.4699595216662,5585089536,4879916544,19562496,79679064,39839528,5526346.0,5526346,global,True,0.5475252758244966,0.9977752539628564,0.5475252758244966,0.9977752539628564,0.0031208730030332,1.244123636274413,0.7202052373711295,vit_dp_kfm_a_pink_beta0.25_seed42,1.6315734726083435
vit,dp_kfm_a,pink,0.25,42,5,0.3021192850320879,0.3134461329936981,0.9243,0.9243,3.5603,2.9959030525484205,0.72021484375,975,195,49838,49838,255.5794871794872,212,297,0.00512,256,975,975,256,128,0.2899394035339355,0.7561368942260742,0.0500177890062332,148.82046508789062,716.7443237304688,1413.238037109375,0.0462475791573524,139.7218017578125,671.3587646484375,1.7989725740626454,4.153723019175232,291.62189130764455,313.11606986261904,1557.6553809484467,5587761664,4879916544,19562496,79679064,39839528,5526346.0,5526346,global,True,0.5550818663629511,0.9979913153485216,0.5550818663629511,0.9979913153485216,0.0028914311795744,1.2300957424889918,0.7202336704257977,vit_dp_kfm_a_pink_beta0.25_seed42,1.627603704476302
