level,layer,group,noise_rms,noise_energy_share,expected_noise_energy,signal_norm,snr,task,method,source,beta,seed,epoch,research_only,run_name,normalization
layer,patch_embed,patch_head,0.7202767114169912,0.0267171110893166,76586.4086151123,4.059326783950478,0.0146682452289401,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.0.attn.q_proj,attention_qkv,0.7199946431002409,0.0067053347727413,19221.296310424805,0.4925634935591957,0.0035528010131106,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.0.attn.k_proj,attention_qkv,0.7201190267060456,0.0067053347727413,19221.296310424805,0.7741024670568549,0.0055835076394684,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.0.attn.v_proj,attention_qkv,0.7202436813345975,0.0067053347727413,19221.296310424805,1.8021715533031863,0.0129988458424096,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.0.attn.out_proj,attention_out,0.7204000484714348,0.0067053347727413,19221.296310424805,1.9859549967865933,0.0143244536325499,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.0.mlp.fc1,mlp_fc1,0.7202109627682205,0.0268213390909653,76885.18524169922,2.526509265792509,0.009111703157577,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.0.mlp.fc2,mlp_fc2,0.7201952396020415,0.0267171110893166,76586.4086151123,4.24964737526929,0.0153559624919648,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.1.attn.q_proj,attention_qkv,0.7203683583438569,0.0067053347727413,19221.296310424805,0.3214626921127223,0.0023186715888397,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.1.attn.k_proj,attention_qkv,0.7204254904274653,0.0067053347727413,19221.296310424805,0.4792979943037672,0.003457118568491,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.1.attn.v_proj,attention_qkv,0.7199662098980936,0.0067053347727413,19221.296310424805,1.9721302873627895,0.0142247376724978,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.1.attn.out_proj,attention_out,0.7202549891746725,0.0067053347727413,19221.296310424805,2.742566871022527,0.0197818037375956,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.1.mlp.fc1,mlp_fc1,0.7201620039588379,0.0268213390909653,76885.18524169922,3.547988715881988,0.0127956071340229,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.1.mlp.fc2,mlp_fc2,0.7201846559718235,0.0267171110893166,76586.4086151123,3.0550161751477884,0.0110392015278544,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.2.attn.q_proj,attention_qkv,0.7201508662821852,0.0067053347727413,19221.296310424805,0.4954801852649516,0.0035738387582595,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.2.attn.k_proj,attention_qkv,0.7203145789125734,0.0067053347727413,19221.296310424805,0.642416924604307,0.0046336757198172,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.2.attn.v_proj,attention_qkv,0.7199342271376548,0.0067053347727413,19221.296310424805,2.7488573735332005,0.0198271763727688,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
