method,geometry,source,engine,profiled,epsilon_target,epsilon_spent,delta,noise_multiplier,seed,epoch,train_loss,test_loss,accuracy,differentiation_seconds,factor_precondition_seconds,sample_gradient_precondition_seconds,norm_clip_seconds,aggregate_seconds,aggregate_precondition_seconds,noise_optimizer_seconds,sample_gradient_matrices_preconditioned,sample_gradient_elements_preconditioned,factor_elements_preconditioned_for_norm,aggregate_matrices_preconditioned,aggregate_elements_preconditioned,grad_sample_peak_bytes,bk_cache_peak_bytes,bk_temporary_peak_bytes,geometry_build_seconds,geometry_peak_allocated_bytes,geometry_peak_reserved_bytes,private_train_seconds,private_peak_allocated_bytes,private_peak_reserved_bytes,algorithm_seconds,evaluation_seconds,clip_fraction,mean_clip_factor,norm_p50,norm_p90,norm_p99,norm_max,logical_steps,optimizer_steps,noise_events,accountant_steps
DP-Adam,base,none,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,42,5,0.5279561110541352,0.5028396022389643,0.9052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,match,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,42,5,0.40014490300518835,0.3605331563448999,0.9309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,mismatch,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,42,5,0.6363694825742998,0.6004982034442946,0.8835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,pink,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,42,5,0.45167058235050267,0.3916558266384527,0.9338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,match,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,42,5,0.26570310211207115,0.23858843467023688,0.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,mismatch,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,42,5,0.4224264074721907,0.3906696547404863,0.9111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,pink,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,42,5,0.3207419618454754,0.28212340783502443,0.9426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-Adam,base,none,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,7,5,0.48973946477103436,0.46669559372239744,0.9121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,match,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,7,5,0.2850765175639819,0.2719041548029054,0.9484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,mismatch,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,7,5,0.39251864762005645,0.36440653120516797,0.9361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,pink,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,7,5,0.40577820924102753,0.385661282944784,0.9373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,match,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,7,5,0.2104641775178731,0.2000079819379607,0.9559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,mismatch,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,7,5,0.28539008169602126,0.2636639748438029,0.9446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,pink,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,7,5,0.2784021389471669,0.26651126263677727,0.9476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-Adam,base,none,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,91,5,0.5073657770060066,0.48167134397663175,0.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,match,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,91,5,0.29020856104345405,0.26782774879247884,0.9435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
