method,geometry,source,engine,epsilon_target,epsilon_spent,delta,noise_multiplier,seed,epoch,train_loss,test_loss,accuracy,differentiation_seconds,factor_precondition_seconds,sample_gradient_precondition_seconds,norm_clip_seconds,aggregate_seconds,aggregate_precondition_seconds,noise_optimizer_seconds,sample_gradient_matrices_preconditioned,sample_gradient_elements_preconditioned,factor_elements_preconditioned_for_norm,aggregate_matrices_preconditioned,aggregate_elements_preconditioned,grad_sample_peak_bytes,bk_cache_peak_bytes,bk_temporary_peak_bytes,geometry_build_seconds,geometry_peak_allocated_bytes,geometry_peak_reserved_bytes,private_train_seconds,private_peak_allocated_bytes,private_peak_reserved_bytes,algorithm_seconds,evaluation_seconds,clip_fraction,mean_clip_factor,norm_p50,norm_p90,norm_p99,norm_max,logical_steps,optimizer_steps,noise_events,accountant_steps
DP-Adam,base,none,explicit,1.0,0.9954287960921595,1e-05,0.9716796875,42,1,0.9662799270998719,0.5223214421421289,0.8612,1.7950606299564242,0.0,0.0,0.3003345290198922,0.20997678954154253,0.0,0.3967037610709667,0,0,0,0,0,211888128,0,0,1.1419877409934998e-05,829440,2097152,3.274680146947503,471911936,490733568,3.274691566824913,0.6163904815912247,0.7655582427978516,0.3384909927845001,8.12820053100586,54.05508804321289,120.30181121826172,214.78915405273438,234,234,234,234
DP-Adam,base,none,bk,1.0,0.9954287960921595,1e-05,0.9716796875,42,1,0.9662799146185573,0.5223213654011488,0.8612,1.534513920545578,0.0,0.0,1.8768168948590755,0.22884055972099304,0.0,0.31285424437373877,0,0,0,0,0,0,58277888,102762496,1.8271617591381073e-05,18917376,23068672,4.456374341621995,184878080,278921216,4.456392613239586,0.7424909844994545,0.7655582427978516,0.3384909927845001,8.12820053100586,54.05508041381836,120.30176544189453,214.78912353515625,234,234,234,234
DP-KFC,full,match,explicit,1.0,0.9954287960921595,1e-05,0.9716796875,42,1,1.2921954337348285,0.5210465684533119,0.8339,1.8024167539551854,0.0,2.4890324287116528,0.21314251609146595,0.33488196693360806,0.0,0.32624449394643307,239616,12395455488,0,0,0,211888128,0,0,0.4492700807750225,120249344,190840832,5.752699917182326,1067304448,1321205760,6.201969997957349,0.7247626781463623,0.9861277937889099,0.023232216015458107,1361.104736328125,3940.207275390625,9813.3486328125,17230.732421875,234,234,234,234
DP-KFC,full,match,bk,1.0,0.9954287960921595,1e-05,0.9716796875,42,1,1.2921954474897466,0.521046631783247,0.8339,1.6122289551422,0.19731991924345493,0.0,1.8793682549148798,0.24232182186096907,0.08527314383536577,0.3063713815063238,0,0,3409256448,936,48419748,0,58277888,123635712,0.3737465785816312,120249344,190840832,4.9652759581804276,215952896,278921216,5.339022536762059,0.7337262267246842,0.9861277937889099,0.023232216015458107,1361.104736328125,3940.206787109375,9813.349609375,17230.734375,234,234,234,234
DP-KFC,full,mismatch,explicit,1.0,0.9954287960921595,1e-05,0.9716796875,42,1,1.3249273447908907,0.6746355794370175,0.7839,1.948827120475471,0.0,2.485594743862748,0.21935381926596165,0.3407546980306506,0.0,0.37818477023392916,239616,12395455488,0,0,0,211888128,0,0,0.10717190057039261,120249344,190840832,5.967492965050042,1067304448,1321205760,6.074664865620434,0.7250846410170197,0.9976128339767456,0.006118704564869404,4240.05615234375,11944.7646484375,23260.080078125,39982.109375,234,234,234,234
DP-KFC,full,mismatch,bk,1.0,0.9954287960921595,1e-05,0.9716796875,42,1,1.3249241521215847,0.6747119762003422,0.7839,1.7627858649939299,0.2135610030964017,0.0,1.9151000548154116,0.24711722321808338,0.09325700718909502,0.3321656556800008,0,0,3409256448,936,48419748,0,58277888,123635712,0.10215769708156586,120249344,190840832,5.19871149584651,215952896,278921216,5.300869192928076,0.7260097479447722,0.9976128339767456,0.006118473131209612,4240.44921875,11946.1884765625,23258.62109375,39981.25,234,234,234,234
DP-KFC,full,pink,explicit,1.0,0.9954287960921595,1e-05,0.9716796875,42,1,1.2027518414279335,0.5549264524132014,0.8286,1.9346963157877326,0.0,2.4619382536038756,0.2323171617463231,0.34091989044100046,0.0,0.3878913577646017,239616,12395455488,0,0,0,211888128,0,0,0.07147067133337259,120118272,197132288,5.95957862213254,1067304448,1321205760,6.031049293465912,0.7260198378935456,0.9538761973381042,0.06056855991482735,1754.338134765625,6949.20703125,17209.771484375,30965.767578125,234,234,234,234
DP-KFC,full,pink,bk,1.0,0.9954287960921595,1e-05,0.9716796875,42,1,1.20275312432876,0.5549269065260887,0.8286,1.6506629837676883,0.20417493861168623,0.0,1.9002602379769087,0.2397677656263113,0.0864964472129941,0.31576978974044323,0,0,3409256448,936,48419748,0,58277888,123635712,0.04936912190169096,120118272,197132288,5.0292679220438,215952896,278921216,5.078637043945491,0.7127349190413952,0.9538761973381042,0.060568589717149734,1754.338134765625,6949.1884765625,17209.8515625,30965.763671875,234,234,234,234
DP-KFC-A,a_only,match,explicit,1.0,0.9954287960921595,1e-05,0.9716796875,42,1,1.0502579759838235,0.39031845768913626,0.8787,1.7797865299507976,0.0,2.015008306130767,0.2042808011174202,0.3273524260148406,0.0,0.3063960671424866,239616,12395455488,0,0,0,211888128,0,0,0.3491156855598092,95569920,155189248,5.163518221117556,655405056,920649728,5.512633906677365,0.7123245662078261,0.8967681527137756,0.15689508616924286,38.36310958862305,144.03480529785156,363.7253112792969,641.0598754882812,234,234,234,234
DP-KFC-A,a_only,match,bk,1.0,0.9954287960921595,1e-05,0.9716796875,42,1,1.0502576628047178,0.3903197947889566,0.8787,1.6704731741920114,0.1438433052971959,0.0,1.862165741622448,0.22268510423600674,0.060797945596277714,0.30572334211319685,0,0,2273836032,936,48419748,0,58277888,110790656,0.3664025850594044,95569920,155189248,4.835560200735927,202905600,278921216,5.201962785795331,0.6775114499032497,0.8967681527137756,0.1568950116634369,38.36310577392578,144.03811645507812,363.7249450683594,641.0621337890625,234,234,234,234
