method,geometry,source,engine,profiled,profile_mode,epsilon_target,epsilon_spent,delta,noise_multiplier,sample_rate,seed,epoch,lr,device,train_size,train_examples,validation_size,logical_batch_size,physical_batch_size,geometry_batch_size,geometry_physical_batch_size,preconditioned_layers,trainable_parameters,train_loss,test_loss,accuracy,differentiation_seconds,factor_precondition_seconds,sample_gradient_precondition_seconds,norm_clip_seconds,aggregate_seconds,aggregate_precondition_seconds,noise_optimizer_seconds,sample_gradient_matrices_preconditioned,sample_gradient_elements_preconditioned,factor_elements_preconditioned_for_norm,aggregate_matrices_preconditioned,aggregate_elements_preconditioned,grad_sample_peak_bytes,bk_cache_peak_bytes,bk_temporary_peak_bytes,geometry_build_seconds,geometry_peak_allocated_bytes,geometry_peak_reserved_bytes,private_train_seconds,private_peak_allocated_bytes,private_peak_reserved_bytes,algorithm_seconds,evaluation_seconds,clip_fraction,mean_clip_factor,norm_p50,norm_p90,norm_p99,norm_max,logical_steps,physical_steps,optimizer_steps,noise_events,accountant_steps
DP-Adam,base,none,bk,False,practical,0.5,0.49433098084180166,1e-05,1.93359375,0.015204383138576668,42,3,0.0005,cuda:1,67349,202047,872,1024,128,0,16,0,66985530,0.7159873929437433,0.7471060031942741,0.8497706422018348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,1581,198,198,198
DP-KFC,full,synthetic,bk,False,practical,0.5,0.49433098084180166,1e-05,1.93359375,0.015204383138576668,42,3,0.0005,cuda:1,67349,202047,872,1024,128,256,16,37,66985530,1.2517998869869498,1.3674810670296094,0.8348623853211009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,1581,198,198,198
DP-KFC-A,a_only,synthetic,bk,False,practical,0.5,0.49433098084180166,1e-05,1.93359375,0.015204383138576668,42,3,0.0005,cuda:1,67349,202047,872,1024,128,256,16,37,66985530,0.8535669641110019,0.8775721928313692,0.8451834862385321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,1581,198,198,198
DP-Adam,base,none,bk,False,practical,0.5,0.49433098084180166,1e-05,1.93359375,0.015204383138576668,7,3,0.0005,cuda:1,67349,202047,872,1024,128,0,16,0,66985530,0.7163603002894887,0.6968076003911914,0.8635321100917431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,1581,198,198,198
DP-KFC,full,synthetic,bk,False,practical,0.5,0.49433098084180166,1e-05,1.93359375,0.015204383138576668,7,3,0.0005,cuda:1,67349,202047,872,1024,128,256,16,37,66985530,1.239089354723358,1.2210684955384958,0.8463302752293578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,1581,198,198,198
DP-KFC-A,a_only,synthetic,bk,False,practical,0.5,0.49433098084180166,1e-05,1.93359375,0.015204383138576668,7,3,0.0005,cuda:1,67349,202047,872,1024,128,256,16,37,66985530,0.8506091678857106,0.8270735447252289,0.8555045871559633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,1581,198,198,198
DP-Adam,base,none,bk,False,practical,0.5,0.49433098084180166,1e-05,1.93359375,0.015204383138576668,91,3,0.0005,cuda:1,67349,202047,872,1024,128,0,16,0,66985530,0.7077873593444104,0.7371928628455044,0.856651376146789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,1581,198,198,198
DP-KFC,full,synthetic,bk,False,practical,0.5,0.49433098084180166,1e-05,1.93359375,0.015204383138576668,91,3,0.0005,cuda:1,67349,202047,872,1024,128,256,16,37,66985530,1.2023422290941508,1.2475966685464916,0.8394495412844036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,1581,198,198,198
DP-KFC-A,a_only,synthetic,bk,False,practical,0.5,0.49433098084180166,1e-05,1.93359375,0.015204383138576668,91,3,0.0005,cuda:1,67349,202047,872,1024,128,256,16,37,66985530,0.826773541724401,0.8774589298040939,0.8463302752293578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,1581,198,198,198
DP-Adam,base,none,bk,False,practical,0.5,0.49433098084180166,1e-05,1.93359375,0.015204383138576668,23,3,0.0005,cuda:1,67349,202047,872,1024,128,0,16,0,66985530,0.7126716558035042,0.6967009893034312,0.8612385321100917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,1581,198,198,198
