Method,Epsilon,Seed,Accuracy,Loss
DP-KFC-A+BK (Synthetic),0.5,42,0.5487967914438503,0.5645779269806882
DP-KFC-A+BK (Public),0.5,42,0.5691844919786097,0.5372985842380118
DP-KFC-A+BK (Synthetic),0.5,7,0.9139371657754011,0.4707098314736752
DP-KFC-A+BK (Public),0.5,7,0.9354946524064172,0.4581222030076575
DP-KFC-A+BK (Synthetic),0.5,91,0.8918783422459893,0.4832823637952196
DP-KFC-A+BK (Public),0.5,91,0.9411764705882353,0.46214345192655604
DP-KFC-A+BK (Synthetic),0.5,23,0.6594251336898396,0.5519522238284984
DP-KFC-A+BK (Public),0.5,23,0.6724598930481284,0.5335881830529964
DP-KFC-A+BK (Synthetic),0.5,58,0.5725267379679144,0.572045273603277
DP-KFC-A+BK (Public),0.5,58,0.6106283422459893,0.5340564653594443
DP-KFC-A+BK (Synthetic),0.5,134,0.6477272727272727,0.5312276346252319
DP-KFC-A+BK (Public),0.5,134,0.6781417112299465,0.5057380053591221
DP-KFC-A+BK (Synthetic),0.5,76,0.8572860962566845,0.5092222544741123
DP-KFC-A+BK (Public),0.5,76,0.932653743315508,0.46323730622200254
DP-KFC-A+BK (Synthetic),0.5,3,0.830548128342246,0.4956869923687996
DP-KFC-A+BK (Public),0.5,3,0.9037433155080213,0.45430154115595717
DP-KFC-A+BK (Synthetic),0.5,219,0.8940508021390374,0.5293492313395155
DP-KFC-A+BK (Public),0.5,219,0.9278074866310161,0.5029063101144547
DP-KFC-A+BK (Synthetic),0.5,65,0.919451871657754,0.4886261265962682
DP-KFC-A+BK (Public),0.5,65,0.9695855614973262,0.46084141002056445
DP-KFC-A+BK (Synthetic),1.0,42,0.7615307486631016,0.4604449880884049
DP-KFC-A+BK (Public),1.0,42,0.8312165775401069,0.43122951115699526
DP-KFC-A+BK (Synthetic),1.0,7,0.9622326203208557,0.38585102399612997
DP-KFC-A+BK (Public),1.0,7,0.9797794117647058,0.37194317325632625
DP-KFC-A+BK (Synthetic),1.0,91,0.902072192513369,0.4088593838696784
DP-KFC-A+BK (Public),1.0,91,0.9515374331550802,0.3809025953424738
DP-KFC-A+BK (Synthetic),1.0,23,0.7844251336898396,0.471417136965914
DP-KFC-A+BK (Public),1.0,23,0.8053141711229946,0.4495075180175457
DP-KFC-A+BK (Synthetic),1.0,58,0.7015374331550802,0.4964691051777373
DP-KFC-A+BK (Public),1.0,58,0.7531751336898396,0.45055748902736825
DP-KFC-A+BK (Synthetic),1.0,134,0.7473262032085561,0.4647970183732662
DP-KFC-A+BK (Public),1.0,134,0.7852606951871658,0.43384116666114075
DP-KFC-A+BK (Synthetic),1.0,76,0.8758355614973262,0.43339729974878594
DP-KFC-A+BK (Public),1.0,76,0.9401737967914439,0.3783817532214713
DP-KFC-A+BK (Synthetic),1.0,3,0.8561163101604278,0.4280975026653168
DP-KFC-A+BK (Public),1.0,3,0.9232954545454546,0.3763092077792959
DP-KFC-A+BK (Synthetic),1.0,219,0.9642379679144385,0.43372778753016855
DP-KFC-A+BK (Public),1.0,219,0.9821189839572193,0.40293429696813543
DP-KFC-A+BK (Synthetic),1.0,65,0.9247994652406417,0.41157588933376554
DP-KFC-A+BK (Public),1.0,65,0.9707553475935828,0.375469668114439
DP-KFC-A+BK (Synthetic),2.0,42,0.8828542780748663,0.38425884697031465
DP-KFC-A+BK (Public),2.0,42,0.9349933155080213,0.35933256815088555
DP-KFC-A+BK (Synthetic),2.0,7,0.9664104278074866,0.3272514986865064
DP-KFC-A+BK (Public),2.0,7,0.986798128342246,0.31390303912314965
DP-KFC-A+BK (Synthetic),2.0,91,0.9022393048128342,0.3611275081304794
DP-KFC-A+BK (Public),2.0,91,0.953542780748663,0.3279131549469968
DP-KFC-A+BK (Synthetic),2.0,23,0.8358957219251337,0.4169072629289424
DP-KFC-A+BK (Public),2.0,23,0.8601270053475936,0.3928874369631422
DP-KFC-A+BK (Synthetic),2.0,58,0.7645387700534759,0.4449925229270407
DP-KFC-A+BK (Public),2.0,58,0.8205213903743316,0.39477719334845846
DP-KFC-A+BK (Synthetic),2.0,134,0.7941176470588235,0.4202567288216124
DP-KFC-A+BK (Public),2.0,134,0.8320521390374331,0.3856347123993204
DP-KFC-A+BK (Synthetic),2.0,76,0.8795120320855615,0.38525917555423494
DP-KFC-A+BK (Public),2.0,76,0.9385026737967914,0.32719044387340546
DP-KFC-A+BK (Synthetic),2.0,3,0.8643048128342246,0.38441436531695916
DP-KFC-A+BK (Public),2.0,3,0.9273061497326203,0.32776522826641163
DP-KFC-A+BK (Synthetic),2.0,219,0.9665775401069518,0.36915834850453316
DP-KFC-A+BK (Public),2.0,219,0.9834558823529411,0.33804792197460826
DP-KFC-A+BK (Synthetic),2.0,65,0.9226270053475936,0.3615175231974176
DP-KFC-A+BK (Public),2.0,65,0.96875,0.32043392290460304
DP-KFC-A+BK (Synthetic),3.0,42,0.9164438502673797,0.34793377239653406
DP-KFC-A+BK (Public),3.0,42,0.9547125668449198,0.32699811458587646
DP-KFC-A+BK (Synthetic),3.0,7,0.9667446524064172,0.30106477471108134
DP-KFC-A+BK (Public),3.0,7,0.986798128342246,0.2879202464159499
DP-KFC-A+BK (Synthetic),3.0,91,0.9004010695187166,0.34140550804899095
DP-KFC-A+BK (Public),3.0,91,0.953542780748663,0.30457059151314675
DP-KFC-A+BK (Synthetic),3.0,23,0.8501002673796791,0.39269827940362567
DP-KFC-A+BK (Public),3.0,23,0.8746657754010695,0.3677423637598119
DP-KFC-A+BK (Synthetic),3.0,58,0.7884358288770054,0.4216079423402218
DP-KFC-A+BK (Public),3.0,58,0.8444184491978609,0.3696966938515927
DP-KFC-A+BK (Synthetic),3.0,134,0.8086564171122995,0.4010262945865063
DP-KFC-A+BK (Public),3.0,134,0.8494318181818182,0.36460321888010555
DP-KFC-A+BK (Synthetic),3.0,76,0.8773395721925134,0.36578309377457235
DP-KFC-A+BK (Public),3.0,76,0.9366644385026738,0.3065288181000568
DP-KFC-A+BK (Synthetic),3.0,3,0.8663101604278075,0.36570706963539124
DP-KFC-A+BK (Public),3.0,3,0.9289772727272727,0.30718963735915245
DP-KFC-A+BK (Synthetic),3.0,219,0.9635695187165776,0.34080302715301514
DP-KFC-A+BK (Public),3.0,219,0.9822860962566845,0.3101508103786631
DP-KFC-A+BK (Synthetic),3.0,65,0.9199532085561497,0.34011715270103293
DP-KFC-A+BK (Public),3.0,65,0.9669117647058824,0.296671709481706
DP-KFC-A+BK (Synthetic),5.0,42,0.9433489304812834,0.3083344006792028
DP-KFC-A+BK (Public),5.0,42,0.9682486631016043,0.2932327903331594
DP-KFC-A+BK (Synthetic),5.0,7,0.963903743315508,0.2743082530003913
DP-KFC-A+BK (Public),5.0,7,0.9862967914438503,0.26119232352109667
DP-KFC-A+BK (Synthetic),5.0,91,0.8967245989304813,0.32290935389539027
DP-KFC-A+BK (Public),5.0,91,0.954879679144385,0.2804387016816342
DP-KFC-A+BK (Synthetic),5.0,23,0.8584558823529411,0.3689496859591058
DP-KFC-A+BK (Public),5.0,23,0.8858622994652406,0.34099345004304926
DP-KFC-A+BK (Synthetic),5.0,58,0.8073195187165776,0.3991157466426809
DP-KFC-A+BK (Public),5.0,58,0.8656417112299465,0.34313245498119516
DP-KFC-A+BK (Synthetic),5.0,134,0.8213569518716578,0.3820214239840812
DP-KFC-A+BK (Public),5.0,134,0.8612967914438503,0.3429566333268551
DP-KFC-A+BK (Synthetic),5.0,76,0.8736631016042781,0.3477715012875009
DP-KFC-A+BK (Public),5.0,76,0.9334893048128342,0.2865260606433483
DP-KFC-A+BK (Synthetic),5.0,3,0.8671457219251337,0.34766859133192834
DP-KFC-A+BK (Public),5.0,3,0.9283088235294118,0.28687482882053295
DP-KFC-A+BK (Synthetic),5.0,219,0.9573863636363636,0.3123341887555224
DP-KFC-A+BK (Public),5.0,219,0.9789438502673797,0.28234283118805986
DP-KFC-A+BK (Synthetic),5.0,65,0.9151069518716578,0.31951876301714716
DP-KFC-A+BK (Public),5.0,65,0.964572192513369,0.2728723680719416
DP-KFC-A+BK (Synthetic),7.5,42,0.9582219251336899,0.280903105564574
DP-KFC-A+BK (Public),7.5,42,0.973596256684492,0.2705476908607686
DP-KFC-A+BK (Synthetic),7.5,7,0.9610628342245989,0.2572505553352072
DP-KFC-A+BK (Public),7.5,7,0.9852941176470589,0.24374340744094647
DP-KFC-A+BK (Synthetic),7.5,91,0.8918783422459893,0.3127943526240105
DP-KFC-A+BK (Public),7.5,91,0.9547125668449198,0.26409212008435673
DP-KFC-A+BK (Synthetic),7.5,23,0.8607954545454546,0.35396840502607063
DP-KFC-A+BK (Public),7.5,23,0.8938836898395722,0.3228888800169559
DP-KFC-A+BK (Synthetic),7.5,58,0.8168449197860963,0.3854065778407645
DP-KFC-A+BK (Public),7.5,58,0.8748328877005348,0.3254668871138958
DP-KFC-A+BK (Synthetic),7.5,134,0.8268716577540107,0.37114103075037613
DP-KFC-A+BK (Public),7.5,134,0.8671457219251337,0.3290825584467421
DP-KFC-A+BK (Synthetic),7.5,76,0.86798128342246,0.3386451300788433
DP-KFC-A+BK (Public),7.5,76,0.9299799465240641,0.2740803211927414
DP-KFC-A+BK (Synthetic),7.5,3,0.865975935828877,0.336856133126198
DP-KFC-A+BK (Public),7.5,3,0.9266377005347594,0.2745289350760744
DP-KFC-A+BK (Synthetic),7.5,219,0.9503676470588235,0.2945776827474858
DP-KFC-A+BK (Public),7.5,219,0.9766042780748663,0.26487839856046314
DP-KFC-A+BK (Synthetic),7.5,65,0.9100935828877005,0.30749382855410273
DP-KFC-A+BK (Public),7.5,65,0.9627339572192514,0.2576466637088897
DP-KFC-A+BK (Synthetic),10.0,42,0.9625668449197861,0.2634715552025653
DP-KFC-A+BK (Public),10.0,42,0.9749331550802139,0.2564902091596989
DP-KFC-A+BK (Synthetic),10.0,7,0.9580548128342246,0.247394804149232
DP-KFC-A+BK (Public),10.0,7,0.983957219251337,0.23331526127901484
DP-KFC-A+BK (Synthetic),10.0,91,0.8871991978609626,0.3079614775611999
DP-KFC-A+BK (Public),10.0,91,0.954879679144385,0.2538192647885769
DP-KFC-A+BK (Synthetic),10.0,23,0.8619652406417112,0.3454795866570574
DP-KFC-A+BK (Public),10.0,23,0.8967245989304813,0.3119685047484459
DP-KFC-A+BK (Synthetic),10.0,58,0.8206885026737968,0.3779173084395997
DP-KFC-A+BK (Public),10.0,58,0.8816844919786097,0.31455212562008106
DP-KFC-A+BK (Synthetic),10.0,134,0.8290441176470589,0.3650722211979805
DP-KFC-A+BK (Public),10.0,134,0.8703208556149733,0.3213095224284111
